n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 2 0 7 8 23 
i 13 3 0 1 8 
i 14 4 5 0 7 
i 33 15 4 3 0 
i 0 2 13 14 33 
i 6 0 3 4 15 
i 21 7 0 5 4 
i 22 8 1 0 3 
i 45 23 8 7 0 
i 0 8 23 22 45 
i 4 0 7 6 21 
i 15 3 0 5 6 
i 14 2 1 0 7 
i 33 13 2 3 0 
i 0 4 15 14 33 
i 8 0 3 2 13 
i 23 7 0 1 2 
i 22 6 5 0 3 
i 45 21 6 7 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 6 21 22 46 
i 2 0 7 8 24 
i 13 3 0 1 9 
i 14 4 5 0 8 
i 34 16 17 4 0 
i 0 2 13 14 34 
i 6 0 3 4 16 
i 21 7 0 5 17 
i 22 8 1 0 4 
i 46 24 9 8 0 
i 0 8 23 22 44 
i 4 0 7 6 20 
i 15 3 0 5 19 
i 14 2 1 0 6 
i 32 12 11 2 0 
i 0 4 15 14 32 
i 8 0 3 2 12 
i 23 7 0 1 11 
i 22 6 5 0 2 
i 44 20 19 6 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 6 21 22 23 
i 2 0 7 8 9 
i 13 3 0 1 10 
i 14 4 5 0 1 
i 15 17 18 5 0 
i 0 2 13 14 15 
i 6 0 3 4 17 
i 21 7 0 5 18 
i 22 8 1 0 5 
i 23 9 10 1 0 
i 0 8 23 22 21 
i 4 0 7 6 19 
i 15 3 0 5 18 
i 14 2 1 0 5 
i 13 11 10 1 0 
i 0 4 15 14 13 
i 8 0 3 2 11 
i 23 7 0 1 10 
i 22 6 5 0 1 
i 21 19 18 5 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 6 21 22 8 
i 2 0 7 8 10 
i 13 3 0 1 11 
i 14 4 5 0 2 
i 4 18 19 6 0 
i 0 2 13 14 4 
i 6 0 3 4 18 
i 21 7 0 5 19 
i 22 8 1 0 6 
i 8 10 11 2 0 
i 0 8 23 22 6 
i 4 0 7 6 18 
i 15 3 0 5 17 
i 14 2 1 0 4 
i 2 10 9 8 0 
i 0 4 15 14 2 
i 8 0 3 2 10 
i 23 7 0 1 9 
i 22 6 5 0 8 
i 6 18 17 4 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} 
i 0 6 21 22 7 
i 2 0 7 8 1 
i 13 3 0 1 2 
i 14 4 5 0 3 
i 3 5 6 7 0 
i 0 2 13 14 3 
i 6 0 3 4 5 
i 21 7 0 5 6 
i 22 8 1 0 7 
i 7 1 2 3 0 
i 0 8 23 22 7 
i 4 0 7 6 5 
i 15 3 0 5 4 
i 14 2 1 0 3 
i 3 1 8 7 0 
i 0 4 15 14 3 
i 8 0 3 2 1 
i 23 7 0 1 8 
i 22 6 5 0 7 
i 7 5 4 3 0 
n {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 6 21 22 44 
i 2 0 7 8 22 
i 13 3 0 1 7 
i 14 4 5 0 6 
i 32 14 3 2 0 
i 0 2 13 14 32 
i 6 0 3 4 14 
i 21 7 0 5 3 
i 22 8 1 0 2 
i 44 22 7 6 0 
i 0 8 23 22 46 
i 4 0 7 6 22 
i 15 3 0 5 7 
i 14 2 1 0 8 
i 34 14 3 4 0 
i 0 4 15 14 34 
i 8 0 3 2 14 
i 23 7 0 1 3 
i 22 6 5 0 4 
i 46 22 7 8 0 
n {-1,1},{0,0} {-1,1},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 7 21 22 
i 2 0 1 7 8 
i 3 5 0 6 7 
i 13 3 2 0 1 
i 14 4 3 5 0 
i 0 2 3 13 14 
i 6 0 5 3 4 
i 7 1 0 2 3 
i 21 7 6 0 5 
i 22 8 7 1 0 
i 0 8 7 23 22 
i 4 0 5 7 6 
i 3 1 0 8 7 
i 15 3 4 0 5 
i 14 2 3 1 0 
i 0 4 3 15 14 
i 8 0 1 3 2 
i 7 5 0 4 3 
i 23 7 8 0 1 
i 22 6 7 5 0 
n {-1,1},{0,0} {-1,1},{0,2} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 8 21 22 
i 2 0 10 7 8 
i 4 18 0 19 6 
i 13 3 11 0 1 
i 14 4 2 5 0 
i 0 2 4 13 14 
i 6 0 18 3 4 
i 8 10 0 11 2 
i 21 7 19 0 5 
i 22 8 6 1 0 
i 0 8 6 23 22 
i 4 0 18 7 6 
i 2 10 0 9 8 
i 15 3 17 0 5 
i 14 2 4 1 0 
i 0 4 2 15 14 
i 8 0 10 3 2 
i 6 18 0 17 4 
i 23 7 9 0 1 
i 22 6 8 5 0 
n {-1,1},{-1,2} {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 6 21 22 
i 5 0 19 20 21 
i 2 11 0 7 8 
i 13 12 3 0 1 
i 14 13 4 5 0 
i 0 5 2 13 14 
i 1 0 11 12 13 
i 6 19 0 3 4 
i 21 20 7 0 5 
i 22 21 8 1 0 
i 0 5 8 23 22 
i 1 0 9 24 23 
i 4 17 0 7 6 
i 15 16 3 0 5 
i 14 15 2 1 0 
i 0 1 4 15 14 
i 5 0 17 16 15 
i 8 9 0 3 2 
i 23 24 7 0 1 
i 22 23 6 5 0 
n {-2,2},{-1,1} {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 6 20 43 44 
i 2 0 6 21 22 
i 12 2 0 7 8 
i 31 13 3 0 1 
i 32 14 4 5 0 
i 0 2 12 31 32 
i 6 0 2 13 14 
i 20 6 0 3 4 
i 43 21 7 0 5 
i 44 22 8 1 0 
i 0 8 24 47 46 
i 4 0 8 23 22 
i 16 4 0 7 6 
i 35 15 3 0 5 
i 34 14 2 1 0 
i 0 4 16 35 34 
i 8 0 4 15 14 
i 24 8 0 3 2 
i 47 23 7 0 1 
i 46 22 6 5 0 
n {-2,1},{-1,1} {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 21 44 45 
i 3 0 6 21 22 
i 13 2 0 7 8 
i 32 13 3 0 1 
i 33 14 4 5 0 
i 0 3 13 32 33 
i 7 0 2 13 14 
i 21 6 0 3 4 
i 44 21 7 0 5 
i 45 22 8 1 0 
i 0 7 23 46 45 
i 3 0 8 23 22 
i 15 4 0 7 6 
i 34 15 3 0 5 
i 33 14 2 1 0 
i 0 3 15 34 33 
i 7 0 4 15 14 
i 23 8 0 3 2 
i 46 23 7 0 1 
i 45 22 6 5 0 
n {-2,0},{-1,1} {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 8 22 45 46 
i 4 0 6 21 22 
i 14 2 0 7 8 
i 33 13 3 0 1 
i 34 14 4 5 0 
i 0 4 14 33 34 
i 8 0 2 13 14 
i 22 6 0 3 4 
i 45 21 7 0 5 
i 46 22 8 1 0 
i 0 6 22 45 44 
i 2 0 8 23 22 
i 14 4 0 7 6 
i 33 15 3 0 5 
i 32 14 2 1 0 
i 0 2 14 33 32 
i 6 0 4 15 14 
i 22 8 0 3 2 
i 45 23 7 0 1 
i 44 22 6 5 0 
n {-1,0},{-1,1} {-1,1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 7 22 23 
i 5 0 6 21 22 
i 3 2 0 7 8 
i 14 13 3 0 1 
i 15 14 4 5 0 
i 0 5 3 14 15 
i 1 0 2 13 14 
i 7 6 0 3 4 
i 22 21 7 0 5 
i 23 22 8 1 0 
i 0 5 7 22 21 
i 1 0 8 23 22 
i 3 4 0 7 6 
i 14 15 3 0 5 
i 13 14 2 1 0 
i 0 1 3 14 13 
i 5 0 4 15 14 
i 7 8 0 3 2 
i 22 23 7 0 1 
i 21 22 6 5 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 7 22 23 46 
i 3 0 7 8 23 
i 14 3 0 1 8 
i 15 4 5 0 7 
i 34 15 4 3 0 
i 0 3 14 15 34 
i 7 0 3 4 15 
i 22 7 0 5 4 
i 23 8 1 0 3 
i 46 23 8 7 0 
i 0 7 22 21 44 
i 3 0 7 6 21 
i 14 3 0 5 6 
i 13 2 1 0 7 
i 32 13 2 3 0 
i 0 3 14 13 32 
i 7 0 3 2 13 
i 22 7 0 1 2 
i 21 6 5 0 3 
i 44 21 6 7 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 7 22 23 47 
i 3 0 7 8 24 
i 14 3 0 1 9 
i 15 4 5 0 8 
i 35 16 17 4 0 
i 0 3 14 15 35 
i 7 0 3 4 16 
i 22 7 0 5 17 
i 23 8 1 0 4 
i 47 24 9 8 0 
i 0 7 22 21 43 
i 3 0 7 6 20 
i 14 3 0 5 19 
i 13 2 1 0 6 
i 31 12 11 2 0 
i 0 3 14 13 31 
i 7 0 3 2 12 
i 22 7 0 1 11 
i 21 6 5 0 2 
i 43 20 19 6 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 7 22 23 24 
i 3 0 7 8 9 
i 14 3 0 1 10 
i 15 4 5 0 1 
i 16 17 18 5 0 
i 0 3 14 15 16 
i 7 0 3 4 17 
i 22 7 0 5 18 
i 23 8 1 0 5 
i 24 9 10 1 0 
i 0 7 22 21 20 
i 3 0 7 6 19 
i 14 3 0 5 18 
i 13 2 1 0 5 
i 12 11 10 1 0 
i 0 3 14 13 12 
i 7 0 3 2 11 
i 22 7 0 1 10 
i 21 6 5 0 1 
i 20 19 18 5 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 7 22 23 9 
i 3 0 7 8 10 
i 14 3 0 1 11 
i 15 4 5 0 2 
i 17 18 19 6 0 
i 0 3 14 15 17 
i 7 0 3 4 18 
i 22 7 0 5 19 
i 23 8 1 0 6 
i 9 10 11 2 0 
i 0 7 22 21 19 
i 3 0 7 6 18 
i 14 3 0 5 17 
i 13 2 1 0 4 
i 11 10 9 8 0 
i 0 3 14 13 11 
i 7 0 3 2 10 
i 22 7 0 1 9 
i 21 6 5 0 8 
i 19 18 17 4 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} 
i 0 7 22 23 8 
i 3 0 7 8 1 
i 14 3 0 1 2 
i 15 4 5 0 3 
i 4 5 6 7 0 
i 0 3 14 15 4 
i 7 0 3 4 5 
i 22 7 0 5 6 
i 23 8 1 0 7 
i 8 1 2 3 0 
i 0 7 22 21 6 
i 3 0 7 6 5 
i 14 3 0 5 4 
i 13 2 1 0 3 
i 2 1 8 7 0 
i 0 3 14 13 2 
i 7 0 3 2 1 
i 22 7 0 1 8 
i 21 6 5 0 7 
i 6 5 4 3 0 
n {-1,0},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 7 22 23 45 
i 3 0 7 8 22 
i 14 3 0 1 7 
i 15 4 5 0 6 
i 33 14 3 2 0 
i 0 3 14 15 33 
i 7 0 3 4 14 
i 22 7 0 5 3 
i 23 8 1 0 2 
i 45 22 7 6 0 
i 0 7 22 21 45 
i 3 0 7 6 22 
i 14 3 0 5 7 
i 13 2 1 0 8 
i 33 14 3 4 0 
i 0 3 14 13 33 
i 7 0 3 2 14 
i 22 7 0 1 3 
