n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 5 6 7 0 21 45 
i 14 3 2 13 0 8 
i 34 15 14 33 4 0 
i 0 3 4 5 14 34 
i 7 0 5 6 3 15 
i 8 1 0 7 2 14 
i 1 2 3 0 13 33 
i 22 7 6 21 0 4 
i 46 23 22 45 8 0 
i 0 7 6 5 22 44 
i 3 0 5 4 7 21 
i 2 1 0 3 8 22 
i 1 8 7 0 23 45 
i 14 3 4 15 0 6 
i 32 13 14 33 2 0 
i 0 3 2 1 14 32 
i 7 0 1 8 3 13 
i 6 5 0 7 4 14 
i 5 4 3 0 15 33 
i 22 7 8 23 0 2 
i 44 21 22 45 6 0 
n {0,0},{1,0} {0,0},{1,1} {0,1},{1,0} {1,1},{2,0} {2,0},{2,1} 
i 0 7 8 1 22 23 
i 3 0 1 2 7 8 
i 4 5 0 3 6 7 
i 5 6 7 0 21 22 
i 14 3 2 13 0 1 
i 15 4 3 14 5 0 
i 0 3 4 5 14 15 
i 7 0 5 6 3 4 
i 8 1 0 7 2 3 
i 1 2 3 0 13 14 
i 22 7 6 21 0 5 
i 23 8 7 22 1 0 
i 0 7 6 5 22 21 
i 3 0 5 4 7 6 
i 2 1 0 3 8 7 
i 1 8 7 0 23 22 
i 14 3 4 15 0 5 
i 13 2 3 14 1 0 
i 0 3 2 1 14 13 
i 7 0 1 8 3 2 
i 6 5 0 7 4 3 
i 5 4 3 0 15 14 
i 22 7 8 23 0 1 
i 21 6 7 22 5 0 
n {0,0},{1,0} {0,0},{1,1} {0,1},{1,0} {1,-1},{2,0} {1,1},{2,0} 
i 0 7 8 1 6 22 
i 3 0 1 2 5 7 
i 4 5 0 3 18 6 
i 5 6 7 0 19 21 
i 2 1 10 11 0 8 
i 14 3 2 13 4 0 
i 0 3 4 5 2 14 
i 7 0 5 6 1 3 
i 8 1 0 7 10 2 
i 1 2 3 0 11 13 
i 6 5 18 19 0 4 
i 22 7 6 21 8 0 
i 0 7 6 5 8 22 
i 3 0 5 4 1 7 
i 2 1 0 3 10 8 
i 1 8 7 0 9 23 
i 4 5 18 17 0 6 
i 14 3 4 15 2 0 
i 0 3 2 1 4 14 
i 7 0 1 8 5 3 
i 6 5 0 7 18 4 
i 5 4 3 0 17 15 
i 8 1 10 9 0 2 
i 22 7 8 23 6 0 
n {0,0},{1,0} {0,0},{1,1} {0,1},{1,0} {1,1},{2,0} {2,-1},{2,0} 
i 0 7 8 1 22 21 
i 3 0 1 2 7 6 
i 4 5 0 3 6 19 
i 5 6 7 0 21 20 
i 14 3 2 13 0 5 
i 13 2 11 12 1 0 
i 0 3 4 5 14 13 
i 7 0 5 6 3 2 
i 8 1 0 7 2 11 
i 1 2 3 0 13 12 
i 22 7 6 21 0 1 
i 21 6 19 20 5 0 
i 0 7 6 5 22 23 
i 3 0 5 4 7 8 
i 2 1 0 3 8 9 
i 1 8 7 0 23 24 
i 14 3 4 15 0 1 
i 15 4 17 16 5 0 
i 0 3 2 1 14 15 
i 7 0 1 8 3 4 
i 6 5 0 7 4 17 
i 5 4 3 0 15 16 
i 22 7 8 23 0 5 
i 23 8 9 24 1 0 
n {0,0},{1,0} {0,0},{1,1} {0,1},{1,0} {1,1},{2,0} {2,0},{3,-1} 
i 0 7 8 1 22 44 
i 3 0 1 2 7 21 
i 4 5 0 3 6 20 
i 5 6 7 0 21 43 
i 14 3 2 13 0 6 
i 32 13 12 31 2 0 
i 0 3 4 5 14 32 
i 7 0 5 6 3 13 
i 8 1 0 7 2 12 
i 1 2 3 0 13 31 
i 22 7 6 21 0 2 
i 44 21 20 43 6 0 
i 0 7 6 5 22 46 
i 3 0 5 4 7 23 
i 2 1 0 3 8 24 
i 1 8 7 0 23 47 
i 14 3 4 15 0 8 
i 34 15 16 35 4 0 
i 0 3 2 1 14 34 
i 7 0 1 8 3 15 
i 6 5 0 7 4 16 
i 5 4 3 0 15 35 
i 22 7 8 23 0 4 
i 46 23 24 47 8 0 
n {0,-1},{1,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 7 8 1 9 24 
i 3 0 1 2 10 9 
i 4 5 0 3 1 8 
i 5 6 7 0 8 23 
i 17 18 5 4 0 7 
i 16 17 4 15 3 0 
i 0 3 4 5 17 16 
i 7 0 5 6 18 17 
i 8 1 0 7 5 4 
i 1 2 3 0 4 15 
i 9 10 1 8 0 3 
i 24 9 8 23 7 0 
i 0 7 6 5 19 20 
i 3 0 5 4 18 19 
i 2 1 0 3 5 6 
i 1 8 7 0 6 21 
i 11 10 1 2 0 7 
i 12 11 2 13 3 0 
i 0 3 2 1 11 12 
i 7 0 1 8 10 11 
i 6 5 0 7 1 2 
i 5 4 3 0 2 13 
i 19 18 5 6 0 3 
i 20 19 6 21 7 0 
n {-1,0},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 6 22 7 23 46 
i 2 0 8 1 9 24 
i 14 4 0 3 1 8 
i 3 5 7 0 8 23 
i 15 17 5 4 0 7 
i 34 16 4 15 3 0 
i 0 2 14 3 15 34 
i 6 0 4 5 17 16 
i 22 8 0 7 5 4 
i 7 1 3 0 4 15 
i 23 9 1 8 0 3 
i 46 24 8 23 7 0 
i 0 8 22 7 21 44 
i 4 0 6 5 19 20 
i 14 2 0 3 5 6 
i 3 1 7 0 6 21 
i 13 11 1 2 0 7 
i 32 12 2 13 3 0 
i 0 4 14 3 13 32 
i 8 0 2 1 11 12 
i 22 6 0 7 1 2 
i 7 5 3 0 2 13 
i 21 19 5 6 0 3 
i 44 20 6 21 7 0 
n {-1,-1},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 7 23 8 24 47 
i 3 0 8 1 9 24 
i 15 4 0 3 1 8 
i 4 5 7 0 8 23 
i 16 17 5 4 0 7 
i 35 16 4 15 3 0 
i 0 7 21 6 20 43 
i 3 0 6 5 19 20 
i 13 2 0 3 5 6 
i 2 1 7 0 6 21 
i 12 11 1 2 0 7 
i 31 12 2 13 3 0 
n {-1,-2},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 8 24 9 25 48 
i 4 0 8 1 9 24 
i 16 4 0 3 1 8 
i 17 5 7 0 8 23 
i 37 17 5 4 0 7 
i 36 16 4 15 3 0 
i 0 4 16 17 37 36 
i 8 0 4 5 17 16 
i 24 8 0 7 5 4 
i 9 1 3 0 4 15 
i 25 9 1 8 0 3 
i 48 24 8 23 7 0 
i 0 6 20 19 41 42 
i 2 0 6 5 19 20 
i 12 2 0 3 5 6 
i 11 1 7 0 6 21 
i 29 11 1 2 0 7 
i 30 12 2 13 3 0 
i 0 2 12 11 29 30 
i 6 0 2 1 11 12 
i 20 6 0 7 1 2 
i 19 5 3 0 2 13 
i 41 19 5 6 0 3 
i 42 20 6 21 7 0 
n {0,-2},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 1 9 10 26 25 
i 5 0 8 1 9 24 
i 17 4 0 3 1 8 
i 18 5 7 0 8 23 
i 38 17 5 4 0 7 
i 37 16 4 15 3 0 
i 0 5 17 18 38 37 
i 1 0 4 5 17 16 
i 9 8 0 7 5 4 
i 10 1 3 0 4 15 
i 26 9 1 8 0 3 
i 25 24 8 23 7 0 
i 0 5 19 18 40 41 
i 1 0 6 5 19 20 
i 11 2 0 3 5 6 
i 10 1 7 0 6 21 
i 28 11 1 2 0 7 
i 29 12 2 13 3 0 
i 0 1 11 10 28 29 
i 5 0 2 1 11 12 
i 19 6 0 7 1 2 
i 18 5 3 0 2 13 
i 40 19 5 6 0 3 
i 41 20 6 21 7 0 
n {0,-1},{1,-2} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 6 8 1 9 24 
i 2 0 10 11 27 26 
i 4 18 0 3 1 8 
i 5 19 7 0 8 23 
i 17 39 5 4 0 7 
i 16 38 4 15 3 0 
i 0 2 4 5 17 16 
i 6 0 18 19 39 38 
i 8 10 0 7 5 4 
i 1 11 3 0 4 15 
i 9 27 1 8 0 3 
i 24 26 8 23 7 0 
i 0 8 6 5 19 20 
i 4 0 18 17 39 40 
i 2 10 0 3 5 6 
i 1 9 7 0 6 21 
i 11 27 1 2 0 7 
i 12 28 2 13 3 0 
i 0 4 2 1 11 12 
i 8 0 10 9 27 28 
i 6 18 0 7 1 2 
i 5 17 3 0 2 13 
i 19 39 5 6 0 3 
i 20 40 6 21 7 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {2,1},{3,1} 
i 0 8 1 9 24 47 
i 4 0 3 1 8 23 
i 5 7 0 8 23 46 
i 17 5 4 0 7 22 
i 16 4 15 3 0 7 
i 35 15 34 14 3 0 
i 0 4 5 17 16 35 
i 8 0 7 5 4 15 
i 1 3 0 4 15 34 
i 9 1 8 0 3 14 
i 24 8 23 7 0 3 
i 47 23 46 22 7 0 
i 0 6 5 19 20 43 
i 2 0 3 5 6 21 
i 1 7 0 6 21 44 
i 11 1 2 0 7 22 
i 12 2 13 3 0 7 
i 31 13 32 14 3 0 
i 0 2 1 11 12 31 
i 6 0 7 1 2 13 
i 5 3 0 2 13 32 
i 19 5 6 0 3 14 
i 20 6 21 7 0 3 
i 43 21 44 22 7 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {2,1},{3,2} 
i 0 8 1 9 24 48 
i 4 0 3 1 8 24 
i 5 7 0 8 23 47 
i 17 5 4 0 7 23 
i 16 4 15 3 0 8 
i 36 16 35 15 4 0 
i 0 4 5 17 16 36 
i 8 0 7 5 4 16 
i 1 3 0 4 15 35 
i 9 1 8 0 3 15 
i 24 8 23 7 0 4 
i 48 24 47 23 8 0 
i 0 6 5 19 20 42 
i 2 0 3 5 6 20 
i 1 7 0 6 21 43 
i 11 1 2 0 7 21 
i 12 2 13 3 0 6 
i 30 12 31 13 2 0 
i 0 2 1 11 12 30 
i 6 0 7 1 2 12 
i 5 3 0 2 13 31 
i 19 5 6 0 3 13 
i 20 6 21 7 0 2 
i 42 20 43 21 6 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {2,1},{2,2} 
i 0 8 1 9 24 25 
i 4 0 3 1 8 9 
i 5 7 0 8 23 24 
i 17 5 4 0 7 8 
i 16 4 15 3 0 1 
i 37 17 16 4 5 0 
i 0 4 5 17 16 37 
i 8 0 7 5 4 17 
i 1 3 0 4 15 16 
i 9 1 8 0 3 4 
i 24 8 23 7 0 5 
i 25 9 24 8 1 0 
i 0 6 5 19 20 41 
i 2 0 3 5 6 19 
i 1 7 0 6 21 20 
i 11 1 2 0 7 6 
i 12 2 13 3 0 5 
i 29 11 12 2 1 0 
i 0 2 1 11 12 29 
i 6 0 7 1 2 11 
i 5 3 0 2 13 12 
i 19 5 6 0 3 2 
i 20 6 21 7 0 1 
i 41 19 20 6 5 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {1,2},{2,1} 
i 0 8 1 9 24 26 
i 4 0 3 1 8 10 
i 5 7 0 8 23 9 
i 17 5 4 0 7 1 
i 16 4 15 3 0 2 
i 38 18 17 5 6 0 
i 0 4 5 17 16 38 
i 8 0 7 5 4 18 
i 1 3 0 4 15 17 
i 9 1 8 0 3 5 
i 24 8 23 7 0 6 
i 26 10 9 1 2 0 
i 0 6 5 19 20 40 
i 2 0 3 5 6 18 
i 1 7 0 6 21 19 
i 11 1 2 0 7 5 
i 12 2 13 3 0 4 
i 28 10 11 1 8 0 
i 0 2 1 11 12 28 
i 6 0 7 1 2 10 
i 5 3 0 2 13 11 
i 19 5 6 0 3 1 
i 20 6 21 7 0 8 
i 40 18 19 5 4 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {2,0},{2,1} 
i 0 8 1 9 24 23 
i 4 0 3 1 8 7 
i 5 7 0 8 23 22 
i 17 5 4 0 7 6 
i 16 4 15 3 0 5 
i 15 3 14 2 1 0 
i 0 4 5 17 16 15 
i 8 0 7 5 4 3 
i 1 3 0 4 15 14 
i 9 1 8 0 3 2 
i 24 8 23 7 0 1 
i 23 7 22 6 5 0 
i 0 6 5 19 20 21 
i 2 0 3 5 6 7 
i 1 7 0 6 21 22 
i 11 1 2 0 7 8 
i 12 2 13 3 0 1 
i 13 3 14 4 5 0 
i 0 2 1 11 12 13 
i 6 0 7 1 2 3 
i 5 3 0 2 13 14 
i 19 5 6 0 3 4 
i 20 6 21 7 0 5 
i 21 7 22 8 1 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} {2,1},{3,0} 
i 0 8 1 9 24 46 
i 4 0 3 1 8 22 
i 5 7 0 8 23 45 
i 17 5 4 0 7 21 
i 16 4 15 3 0 6 
i 34 14 33 13 2 0 
i 0 4 5 17 16 34 
i 8 0 7 5 4 14 
i 1 3 0 4 15 33 
i 9 1 8 0 3 13 
i 24 8 23 7 0 2 
i 46 22 45 21 6 0 
i 0 6 5 19 20 44 
i 2 0 3 5 6 22 
i 1 7 0 6 21 45 
i 11 1 2 0 7 23 
i 12 2 13 3 0 8 
i 32 14 33 15 4 0 
i 0 2 1 11 12 32 
i 6 0 7 1 2 14 
i 5 3 0 2 13 33 
i 19 5 6 0 3 15 
i 20 6 21 7 0 4 
i 44 22 45 23 8 0 
n {0,-1},{1,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 7 8 1 9 25 
i 3 0 1 2 10 26 
i 4 5 0 3 1 9 
i 5 6 7 0 8 24 
i 17 18 5 4 0 8 
i 37 38 17 16 4 0 
i 0 3 4 5 17 37 
i 7 0 5 6 18 38 
i 8 1 0 7 5 17 
i 1 2 3 0 4 16 
i 9 10 1 8 0 4 
i 25 26 9 24 8 0 
i 0 7 6 5 19 41 
i 3 0 5 4 18 40 
i 2 1 0 3 5 19 
i 1 8 7 0 6 20 
i 11 10 1 2 0 6 
i 29 28 11 12 2 0 
i 0 3 2 1 11 29 
i 7 0 1 8 10 28 
i 6 5 0 7 1 11 
i 5 4 3 0 2 12 
i 19 18 5 6 0 2 
i 41 40 19 20 6 0 
n {-1,0},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 6 22 7 23 47 
i 2 0 8 1 9 25 
i 14 4 0 3 1 9 
i 3 5 7 0 8 24 
i 15 17 5 4 0 8 
i 35 37 17 16 4 0 
i 0 2 14 3 15 35 
i 6 0 4 5 17 37 
i 22 8 0 7 5 17 
i 7 1 3 0 4 16 
i 23 9 1 8 0 4 
i 47 25 9 24 8 0 
i 0 8 22 7 21 43 
i 4 0 6 5 19 41 
i 14 2 0 3 5 19 
i 3 1 7 0 6 20 
i 13 11 1 2 0 6 
i 31 29 11 12 2 0 
i 0 4 14 3 13 31 
i 8 0 2 1 11 29 
i 22 6 0 7 1 11 
i 7 5 3 0 2 12 
i 21 19 5 6 0 2 
i 43 41 19 20 6 0 
n {-1,-2},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 8 24 9 25 49 
i 4 0 8 1 9 25 
i 16 4 0 3 1 9 
i 17 5 7 0 8 24 
i 37 17 5 4 0 8 
i 65 37 17 16 4 0 
i 0 6 20 19 41 71 
i 2 0 6 5 19 41 
i 12 2 0 3 5 19 
i 11 1 7 0 6 20 
i 29 11 1 2 0 6 
i 55 29 11 12 2 0 
n {0,-2},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 1 9 10 26 50 
i 5 0 8 1 9 25 
i 17 4 0 3 1 9 
i 18 5 7 0 8 24 
i 38 17 5 4 0 8 
i 66 37 17 16 4 0 
i 0 5 17 18 38 66 
i 1 0 4 5 17 37 
i 9 8 0 7 5 17 
i 10 1 3 0 4 16 
i 26 9 1 8 0 4 
i 50 25 9 24 8 0 
i 0 5 19 18 40 70 
i 1 0 6 5 19 41 
i 11 2 0 3 5 19 
i 10 1 7 0 6 20 
i 28 11 1 2 0 6 
i 54 29 11 12 2 0 
i 0 1 11 10 28 54 
i 5 0 2 1 11 29 
i 19 6 0 7 1 11 
i 18 5 3 0 2 12 
i 40 19 5 6 0 2 
i 70 41 19 20 6 0 
n {0,-1},{1,-2} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 6 8 1 9 25 
i 2 0 10 11 27 51 
i 4 18 0 3 1 9 
i 5 19 7 0 8 24 
i 17 39 5 4 0 8 
i 37 67 17 16 4 0 
i 0 2 4 5 17 37 
i 6 0 18 19 39 67 
i 8 10 0 7 5 17 
i 1 11 3 0 4 16 
i 9 27 1 8 0 4 
i 25 51 9 24 8 0 
i 0 8 6 5 19 41 
i 4 0 18 17 39 69 
i 2 10 0 3 5 19 
i 1 9 7 0 6 20 
i 11 27 1 2 0 6 
i 29 53 11 12 2 0 
i 0 4 2 1 11 29 
i 8 0 10 9 27 53 
i 6 18 0 7 1 11 
i 5 17 3 0 2 12 
i 19 39 5 6 0 2 
i 41 69 19 20 6 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {2,2},{3,2} 
i 0 8 1 9 25 48 
i 4 0 3 1 9 24 
i 5 7 0 8 24 47 
i 17 5 4 0 8 23 
i 37 17 16 4 0 7 
i 36 16 35 15 3 0 
i 0 4 5 17 37 36 
i 8 0 7 5 17 16 
i 1 3 0 4 16 35 
i 9 1 8 0 4 15 
i 25 9 24 8 0 3 
i 48 24 47 23 7 0 
i 0 6 5 19 41 42 
i 2 0 3 5 19 20 
i 1 7 0 6 20 43 
i 11 1 2 0 6 21 
i 29 11 12 2 0 7 
i 30 12 31 13 3 0 
i 0 2 1 11 29 30 
i 6 0 7 1 11 12 
i 5 3 0 2 12 31 
i 19 5 6 0 2 13 
i 41 19 20 6 0 3 
i 42 20 43 21 7 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {2,2},{3,3} 
i 0 8 1 9 25 49 
i 4 0 3 1 9 25 
i 5 7 0 8 24 48 
i 17 5 4 0 8 24 
i 37 17 16 4 0 8 
i 65 37 36 16 4 0 
i 0 4 5 17 37 65 
i 8 0 7 5 17 37 
i 1 3 0 4 16 36 
i 9 1 8 0 4 16 
i 25 9 24 8 0 4 
i 49 25 48 24 8 0 
i 0 6 5 19 41 71 
i 2 0 3 5 19 41 
i 1 7 0 6 20 42 
i 11 1 2 0 6 20 
i 29 11 12 2 0 6 
i 55 29 30 12 2 0 
i 0 2 1 11 29 55 
i 6 0 7 1 11 29 
i 5 3 0 2 12 30 
i 19 5 6 0 2 12 
i 41 19 20 6 0 2 
i 71 41 42 20 6 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {2,2},{2,3} 
i 0 8 1 9 25 50 
i 4 0 3 1 9 26 
i 5 7 0 8 24 25 
i 17 5 4 0 8 9 
i 37 17 16 4 0 1 
i 66 38 37 17 5 0 
i 0 4 5 17 37 66 
i 8 0 7 5 17 38 
i 1 3 0 4 16 37 
i 9 1 8 0 4 17 
i 25 9 24 8 0 5 
i 50 26 25 9 1 0 
i 0 6 5 19 41 70 
i 2 0 3 5 19 40 
i 1 7 0 6 20 41 
i 11 1 2 0 6 19 
i 29 11 12 2 0 5 
i 54 28 29 11 1 0 
i 0 2 1 11 29 54 
i 6 0 7 1 11 28 
i 5 3 0 2 12 29 
i 19 5 6 0 2 11 
i 41 19 20 6 0 1 
i 70 40 41 19 5 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {1,3},{2,2} 
i 0 8 1 9 25 51 
i 4 0 3 1 9 27 
i 5 7 0 8 24 26 
i 17 5 4 0 8 10 
i 37 17 16 4 0 2 
i 67 39 38 18 6 0 
i 0 4 5 17 37 67 
i 8 0 7 5 17 39 
i 1 3 0 4 16 38 
i 9 1 8 0 4 18 
i 25 9 24 8 0 6 
i 51 27 26 10 2 0 
i 0 6 5 19 41 69 
i 2 0 3 5 19 39 
i 1 7 0 6 20 40 
i 11 1 2 0 6 18 
i 29 11 12 2 0 4 
i 53 27 28 10 8 0 
i 0 2 1 11 29 53 
i 6 0 7 1 11 27 
i 5 3 0 2 12 28 
i 19 5 6 0 2 10 
i 41 19 20 6 0 8 
i 69 39 40 18 4 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {1,2},{2,2} 
i 0 8 1 9 25 26 
i 4 0 3 1 9 10 
i 5 7 0 8 24 9 
i 17 5 4 0 8 1 
i 37 17 16 4 0 3 
i 38 18 17 5 7 0 
i 0 4 5 17 37 38 
i 8 0 7 5 17 18 
i 1 3 0 4 16 17 
i 9 1 8 0 4 5 
i 25 9 24 8 0 7 
i 26 10 9 1 3 0 
i 0 6 5 19 41 40 
i 2 0 3 5 19 18 
i 1 7 0 6 20 19 
i 11 1 2 0 6 5 
i 29 11 12 2 0 3 
i 28 10 11 1 7 0 
i 0 2 1 11 29 28 
i 6 0 7 1 11 10 
i 5 3 0 2 12 11 
i 19 5 6 0 2 1 
i 41 19 20 6 0 7 
i 40 18 19 5 3 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {2,1},{2,2} 
i 0 8 1 9 25 24 
i 4 0 3 1 9 8 
i 5 7 0 8 24 23 
i 17 5 4 0 8 7 
i 37 17 16 4 0 5 
i 16 4 15 3 1 0 
i 0 4 5 17 37 16 
i 8 0 7 5 17 4 
i 1 3 0 4 16 15 
i 9 1 8 0 4 3 
i 25 9 24 8 0 1 
i 24 8 23 7 5 0 
i 0 6 5 19 41 20 
i 2 0 3 5 19 6 
i 1 7 0 6 20 21 
i 11 1 2 0 6 7 
i 29 11 12 2 0 1 
i 12 2 13 3 5 0 
i 0 2 1 11 29 12 
i 6 0 7 1 11 2 
i 5 3 0 2 12 13 
i 19 5 6 0 2 3 
i 41 19 20 6 0 5 
i 20 6 21 7 1 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} {2,2},{3,1} 
i 0 8 1 9 25 47 
i 4 0 3 1 9 23 
i 5 7 0 8 24 46 
i 17 5 4 0 8 22 
i 37 17 16 4 0 6 
i 35 15 34 14 2 0 
i 0 4 5 17 37 35 
i 8 0 7 5 17 15 
i 1 3 0 4 16 34 
i 9 1 8 0 4 14 
i 25 9 24 8 0 2 
i 47 23 46 22 6 0 
i 0 6 5 19 41 43 
i 2 0 3 5 19 21 
i 1 7 0 6 20 44 
i 11 1 2 0 6 22 
i 29 11 12 2 0 8 
i 31 13 32 14 4 0 
i 0 2 1 11 29 31 
i 6 0 7 1 11 13 
i 5 3 0 2 12 32 
i 19 5 6 0 2 14 
i 41 19 20 6 0 4 
i 43 21 44 22 8 0 
n {0,-1},{1,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 7 8 1 9 26 
i 3 0 1 2 10 27 
i 4 5 0 3 1 10 
i 5 6 7 0 8 9 
i 17 18 5 4 0 1 
i 38 39 18 17 5 0 
i 0 3 4 5 17 38 
i 7 0 5 6 18 39 
i 8 1 0 7 5 18 
i 1 2 3 0 4 17 
i 9 10 1 8 0 5 
i 26 27 10 9 1 0 
i 0 7 6 5 19 40 
i 3 0 5 4 18 39 
i 2 1 0 3 5 18 
i 1 8 7 0 6 19 
i 11 10 1 2 0 5 
i 28 27 10 11 1 0 
i 0 3 2 1 11 28 
i 7 0 1 8 10 27 
i 6 5 0 7 1 10 
i 5 4 3 0 2 11 
i 19 18 5 6 0 1 
i 40 39 18 19 5 0 
n {-1,0},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 6 22 7 23 24 
i 2 0 8 1 9 26 
i 14 4 0 3 1 10 
i 3 5 7 0 8 9 
i 15 17 5 4 0 1 
i 16 38 18 17 5 0 
i 0 2 14 3 15 16 
i 6 0 4 5 17 38 
i 22 8 0 7 5 18 
i 7 1 3 0 4 17 
i 23 9 1 8 0 5 
i 24 26 10 9 1 0 
i 0 8 22 7 21 20 
i 4 0 6 5 19 40 
i 14 2 0 3 5 18 
i 3 1 7 0 6 19 
i 13 11 1 2 0 5 
i 12 28 10 11 1 0 
i 0 4 14 3 13 12 
i 8 0 2 1 11 28 
i 22 6 0 7 1 10 
i 7 5 3 0 2 11 
i 21 19 5 6 0 1 
i 20 40 18 19 5 0 
n {0,-2},{0,-1} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 1 9 10 26 51 
i 5 0 8 1 9 26 
i 17 4 0 3 1 10 
i 18 5 7 0 8 9 
i 38 17 5 4 0 1 
i 67 38 18 17 5 0 
i 0 5 19 18 40 69 
i 1 0 6 5 19 40 
i 11 2 0 3 5 18 
i 10 1 7 0 6 19 
i 28 11 1 2 0 5 
i 53 28 10 11 1 0 
n {0,-1},{1,-2} {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 6 8 1 9 26 
i 2 0 10 11 27 52 
i 4 18 0 3 1 10 
i 5 19 7 0 8 9 
i 17 39 5 4 0 1 
i 38 68 18 17 5 0 
i 0 2 4 5 17 38 
i 6 0 18 19 39 68 
i 8 10 0 7 5 18 
i 1 11 3 0 4 17 
i 9 27 1 8 0 5 
i 26 52 10 9 1 0 
i 0 8 6 5 19 40 
i 4 0 18 17 39 68 
i 2 10 0 3 5 18 
i 1 9 7 0 6 19 
i 11 27 1 2 0 5 
i 28 52 10 11 1 0 
i 0 4 2 1 11 28 
i 8 0 10 9 27 52 
i 6 18 0 7 1 10 
i 5 17 3 0 2 11 
i 19 39 5 6 0 1 
i 40 68 18 19 5 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,2},{2,2} 
i 0 8 1 9 26 25 
i 4 0 3 1 10 9 
i 5 7 0 8 9 24 
i 17 5 4 0 1 8 
i 38 18 17 5 0 7 
i 37 17 16 4 3 0 
i 0 4 5 17 38 37 
i 8 0 7 5 18 17 
i 1 3 0 4 17 16 
i 9 1 8 0 5 4 
i 26 10 9 1 0 3 
i 25 9 24 8 7 0 
i 0 6 5 19 40 41 
i 2 0 3 5 18 19 
i 1 7 0 6 19 20 
i 11 1 2 0 5 6 
i 28 10 11 1 0 7 
i 29 11 12 2 3 0 
i 0 2 1 11 28 29 
i 6 0 7 1 10 11 
i 5 3 0 2 11 12 
i 19 5 6 0 1 2 
i 40 18 19 5 0 3 
i 41 19 20 6 7 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,2},{2,3} 
i 0 8 1 9 26 50 
i 4 0 3 1 10 26 
i 5 7 0 8 9 25 
i 17 5 4 0 1 9 
i 38 18 17 5 0 8 
i 66 38 37 17 4 0 
i 0 4 5 17 38 66 
i 8 0 7 5 18 38 
i 1 3 0 4 17 37 
i 9 1 8 0 5 17 
i 26 10 9 1 0 4 
i 50 26 25 9 8 0 
i 0 6 5 19 40 70 
i 2 0 3 5 18 40 
i 1 7 0 6 19 41 
i 11 1 2 0 5 19 
i 28 10 11 1 0 6 
i 54 28 29 11 2 0 
i 0 2 1 11 28 54 
i 6 0 7 1 10 28 
i 5 3 0 2 11 29 
i 19 5 6 0 1 11 
i 40 18 19 5 0 2 
i 70 40 41 19 6 0 
n {0,-1},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} {1,2},{1,3} 
